,Image,Rank,Name,Net_Worth,Age,Source,Country,internal_link,Industry
2076,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,2245,Yoichi Erikawa,$1.3 B,72,Video games,Japan,https://www.forbes.com/profile/yoichi-erikawa/?list=rtb/,Media & Entertainment
2077,//specials-images.forbesimg.com/imageserve/5e77f879d8e1ae0007b73924/416x416.jpg?background=000000&cropX1=1184&cropX2=3287&cropY1=12&cropY2=2117,2248,Richard Desmond,$1.3 B,71,Publishing,United Kingdom,https://www.forbes.com/profile/richard-desmond/?list=rtb/,Media & Entertainment
2078,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,2251,Mathias Doepfner,$1.2 B,60,Media,Germany,https://www.forbes.com/profile/mathias-doepfner/?list=rtb/,Media & Entertainment
2079,//specials-images.forbesimg.com/imageserve/5e7b96a008d8460006c88c6e/416x416.jpg?background=000000&cropX1=1567&cropX2=3690&cropY1=1035&cropY2=3159,2257,Guy Laliberté,$1.2 B,63,Cirque du Soleil,Canada,https://www.forbes.com/profile/guy-laliberte/?list=rtb/,Media & Entertainment
2080,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Media & Entertainment
2081,//specials-images.forbesimg.com/imageserve/5b71cae531358e0429c5d8d1/416x416.jpg?background=000000&cropX1=479&cropX2=1101&cropY1=182&cropY2=804,2261,Kim Taek-jin,$1.2 B,56,Online games,South Korea,https://www.forbes.com/profile/kim-taek-jin/?list=rtb/,Media & Entertainment
2082,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,2269,Edir Macedo & family,$1.2 B,78,broadcasting,Brazil,https://www.forbes.com/profile/edir-macedo/?list=rtb/,Media & Entertainment
2083,https://specials-images.forbesimg.com/imageserve/f3b036a9e88fe0f1765e484194428ead/416x416.jpg?background=000000&cropX1=0&cropX2=362&cropY1=0&cropY2=362,2283,Aydin Dogan,$1.2 B,87,Media,Turkey,https://www.forbes.com/profile/aydin-dogan/?list=rtb/,Media & Entertainment
2084,//specials-images.forbesimg.com/imageserve/5c7227ada7ea4310004351c2/416x416.jpg?background=000000&cropX1=680&cropX2=2462&cropY1=560&cropY2=2343,2284,Markus Persson,$1.2 B,44,Computer games,Sweden,https://www.forbes.com/profile/markus-persson/?list=rtb/,Media & Entertainment
2085,https://specials-images.forbesimg.com/imageserve/6470d1e9c70422f301569955/416x416.jpg?background=000000&cropX1=35&cropX2=1455&cropY1=454&cropY2=1874,2358,Kenzo Tsujimoto,$1.2 B,82,video games ,Japan,https://www.forbes.com/profile/kenzo-tsujimoto/?list=rtb/,Media & Entertainment
2086,//specials-images.forbesimg.com/imageserve/5d6012882dedcb0008e0f1df/416x416.jpg?background=000000&cropX1=1639&cropX2=4821&cropY1=8&cropY2=3187,2427,Min-Liang Tan,$1.1 B,45,Gaming,Singapore,https://www.forbes.com/profile/min-liang-tan/?list=rtb/,Media & Entertainment
2087,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,2486,Kim Jung-min,$1.1 B,21,Online gaming,South Korea,https://www.forbes.com/profile/kim-jung-min/?list=rtb/,Media & Entertainment
2088,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,2486,Kim Jung-youn,$1.1 B,19,Online gaming,South Korea,https://www.forbes.com/profile/kim-jung-youn/?list=rtb/,Media & Entertainment
2089,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,2528,Yu Faxiang,$1.1 B,51,"Tourism, cultural industry",China,https://www.forbes.com/profile/yu-faxiang/?list=rtb/,Media & Entertainment
2090,https://specials-images.forbesimg.com/imageserve/642b3621641e50b0dfdeb170/416x416.jpg?background=000000&cropX1=0&cropX2=3393&cropY1=250&cropY2=3642,2573,Jimmy Buffett,$1.0 B,76,"Entertainment, Margaritaville",United States,https://www.forbes.com/profile/jimmy-buffett/?list=rtb/,Media & Entertainment
2091,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Media & Entertainment
2092,//specials-images.forbesimg.com/imageserve/5ecc520236d6f40008dcdd7d/416x416.jpg?background=000000&cropX1=622&cropX2=3127&cropY1=5&cropY2=2509,2598,Tyler Perry,$1.0 B,53,"Movies, television",United States,https://www.forbes.com/profile/tyler-perry/?list=rtb/,Media & Entertainment
2093,//specials-images.forbesimg.com/imageserve/597a47174bbe6f3eb800b6b8/416x416.jpg?background=000000&cropX1=1901&cropX2=3603&cropY1=368&cropY2=2069,49,Germán Larrea Mota Velasco & family,$29.4 B,69,Mining,Mexico,https://www.forbes.com/profile/german-larrea-mota-velasco/?list=rtb/,Metals & Mining
2094,https://specials-images.forbesimg.com/imageserve/63ea537497b95f2affd77e9c/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,55,Gina Rinehart,$27.2 B,69,Mining,Australia,https://www.forbes.com/profile/gina-rinehart/?list=rtb/,Metals & Mining
2095,//specials-images.forbesimg.com/imageserve/5c7eb6524bbe6f42abffe4ca/416x416.jpg?background=000000&cropX1=665&cropX2=2917&cropY1=100&cropY2=2353,64,Andrey Melnichenko & family,$24.6 B,51,"Fertilizers, coal",Russia,https://www.forbes.com/profile/andrey-melnichenko/?list=rtb/,Metals & Mining
2096,//specials-images.forbesimg.com/imageserve/5e87ae86582b5d00068ce78c/416x416.jpg?background=000000&cropX1=1187&cropX2=4259&cropY1=272&cropY2=3347,68,Vladimir Potanin,$23.7 B,62,Metals,Russia,https://www.forbes.com/profile/vladimir-potanin/?list=rtb/,Metals & Mining
2097,//specials-images.forbesimg.com/imageserve/5c6db2974bbe6f0ec75418f0/416x416.jpg?background=000000&cropX1=124&cropX2=491&cropY1=0&cropY2=367,72,Iris Fontbona & family,$22.7 B,80,Mining,Chile,https://www.forbes.com/profile/iris-fontbona/?list=rtb/,Metals & Mining
2098,//specials-images.forbesimg.com/imageserve/5e77914ec7b02d000666d900/416x416.jpg?background=000000&cropX1=825&cropX2=3235&cropY1=50&cropY2=2459,73,Vladimir Lisin,$22.1 B,67,"Steel, transport",Russia,https://www.forbes.com/profile/vladimir-lisin/?list=rtb/,Metals & Mining
2099,//specials-images.forbesimg.com/imageserve/5e87b07fbf94c200067fcf57/416x416.jpg?background=000000&cropX1=1002&cropX2=4157&cropY1=163&cropY2=3318,79,Alexey Mordashov & family,$20.6 B,57,"Steel, investments",Russia,https://www.forbes.com/profile/alexey-mordashov/?list=rtb/,Metals & Mining
2100,//specials-images.forbesimg.com/imageserve/55f77874e4b0ffa7afe4940e/416x416.jpg?background=000000&cropX1=90&cropX2=676&cropY1=53&cropY2=640,81,Savitri Jindal & family,$20.0 B,73,Steel,India,https://www.forbes.com/profile/savitri-jindal/?list=rtb/,Metals & Mining
2101,https://specials-images.forbesimg.com/imageserve/63ea53c5d97ee8db33afaaf0/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,85,Andrew Forrest,$19.8 B,61,Mining,Australia,https://www.forbes.com/profile/andrew-forrest/?list=rtb/,Metals & Mining
2102,https://specials-images.forbesimg.com/imageserve/6345b68ac253491e1cb3f62c/416x416.jpg?background=000000&cropX1=492&cropX2=1966&cropY1=36&cropY2=1509,108,Lakshmi Mittal,$16.1 B,73,Steel,India,https://www.forbes.com/profile/lakshmi-mittal/?list=rtb/,Metals & Mining
2103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Metals & Mining
2104,https://specials-images.forbesimg.com/imageserve/6182bd42a164f1e8dbe9678e/416x416.jpg?background=000000&cropX1=281&cropX2=1717&cropY1=66&cropY2=1502,111,Wang Wenyin,$15.5 B,55,"Mining, copper products",China,https://www.forbes.com/profile/wang-wenyin/?list=rtb/,Metals & Mining
2105,https://specials-images.forbesimg.com/imageserve/607a044ee9910fe868a69505/416x416.jpg?background=000000&cropX1=183&cropX2=812&cropY1=23&cropY2=651,121,Alisher Usmanov,$14.4 B,69,"Steel, telecom, investments",Russia,https://www.forbes.com/profile/alisher-usmanov/?list=rtb/,Metals & Mining
2106,https://specials-images.forbesimg.com/imageserve/6182bfc1fb85e417104d179a/416x416.jpg?background=000000&cropX1=1515&cropX2=2926&cropY1=166&cropY2=1576,187,Dang Yanbao,$10.2 B,50,Coal,China,https://www.forbes.com/profile/dang-yanbao/?list=rtb/,Metals & Mining
2107,//specials-images.forbesimg.com/imageserve/5e77d02310380d0006fbc6b6/416x416.jpg?background=000000&cropX1=1345&cropX2=4926&cropY1=255&cropY2=3840,240,Ivan Glasenberg,$8.8 B,66,Mining,Switzerland,https://www.forbes.com/profile/ivan-glasenberg/?list=rtb/,Metals & Mining
2108,https://specials-images.forbesimg.com/imageserve/6009d4608122193e45aeabc9/416x416.jpg?background=000000&cropX1=314&cropX2=2176&cropY1=1006&cropY2=2869,260,Nicky Oppenheimer & family,$8.3 B,78,Diamonds,South Africa,https://www.forbes.com/profile/nicky-oppenheimer/?list=rtb/,Metals & Mining
2109,//specials-images.forbesimg.com/imageserve/5a7dd4e9a7ea431690131787/416x416.jpg?background=000000&cropX1=1134&cropX2=2843&cropY1=0&cropY2=1710,267,Pavel Tykac,$8.2 B,59,Coal mines,Czech Republic,https://www.forbes.com/profile/pavel-tykac/?list=rtb/,Metals & Mining
2110,https://specials-images.forbesimg.com/imageserve/62290d5f7cef7069787a7528/416x416.jpg?background=000000&cropX1=287&cropX2=1212&cropY1=75&cropY2=1000,280,Andrei Skoch & family,$7.9 B,57,Metals and mining,Russia,https://www.forbes.com/profile/andrei-skoch-family/?list=rtb/,Metals & Mining
2111,//specials-images.forbesimg.com/imageserve/5c71a2faa7ea4310004348d4/416x416.jpg?background=000000&cropX1=457&cropX2=1515&cropY1=80&cropY2=1139,322,Iskander Makhmudov,$7.3 B,59,"Mining, metals, machinery",Russia,https://www.forbes.com/profile/iskander-makhmudov/?list=rtb/,Metals & Mining
2112,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,337,Zheng Shuliang & family,$7.1 B,77,Aluminum products,China,https://www.forbes.com/profile/zheng-shuliang/?list=rtb/,Metals & Mining
2113,https://specials-images.forbesimg.com/imageserve/6220f15823d360f397d92ee1/416x416.jpg?background=000000&cropX1=1317&cropX2=2912&cropY1=283&cropY2=1877,443,Alexander Abramov,$6.0 B,64,"Steel, mining",Russia,https://www.forbes.com/profile/alexander-abramov/?list=rtb/,Metals & Mining
2114,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Metals & Mining
2115,//specials-images.forbesimg.com/imageserve/5e77e575c7b02d000666e0f4/416x416.jpg?background=000000&cropX1=411&cropX2=3952&cropY1=111&cropY2=3656,463,Rinat Akhmetov,$5.7 B,56,"Steel, coal ",Ukraine,https://www.forbes.com/profile/rinat-akhmetov/?list=rtb/,Metals & Mining
2116,//specials-images.forbesimg.com/imageserve/5c70ea114bbe6f79c5474283/416x416.jpg?background=000000&cropX1=223&cropX2=2134&cropY1=9&cropY2=1919,606,Vladimir Kim,$4.6 B,62,Mining,Kazakhstan,https://www.forbes.com/profile/vladimir-kim/?list=rtb/,Metals & Mining
2117,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,633,Mikhail Shelkov,$4.4 B,55,Titanium,Russia,https://www.forbes.com/profile/mikhail-shelkov/?list=rtb/,Metals & Mining
2118,//specials-images.forbesimg.com/imageserve/5e77774510380d0006fbbd37/416x416.jpg?background=000000&cropX1=1712&cropX2=5050&cropY1=312&cropY2=3648,657,Andrei Kozitsyn,$4.3 B,63,Metals,Russia,https://www.forbes.com/profile/andrei-kozitsyn/?list=rtb/,Metals & Mining
2119,//specials-images.forbesimg.com/imageserve/1d675e162263166f77c91af6452294de/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=44&cropY2=788,689,Lim Hariyanto Wijaya Sarwono,$4.2 B,94,"Palm oil, nickel mining",Indonesia,https://www.forbes.com/profile/lim-hariyanto-wijaya-sarwono/?list=rtb/,Metals & Mining
2120,//specials-images.forbesimg.com/imageserve/442e1e3ce8c058cb0c8d31e6555c38df/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=110&cropY2=854,771,Rufino Vigil Gonzalez,$3.8 B,75,Steel,Mexico,https://www.forbes.com/profile/rufino-vigil-gonzalez/?list=rtb/,Metals & Mining
2121,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,813,Julio Ponce Lerou,$3.6 B,77,Fertilizer,Chile,https://www.forbes.com/profile/julio-ponce-lerou/?list=rtb/,Metals & Mining
2122,//specials-images.forbesimg.com/imageserve/5e777d9cc7b02d000666d7b3/416x416.jpg?background=000000&cropX1=594&cropX2=3031&cropY1=64&cropY2=2500,920,Igor Altushkin,$3.3 B,52,Metals,Russia,https://www.forbes.com/profile/igor-altushkin/?list=rtb/,Metals & Mining
2123,//specials-images.forbesimg.com/imageserve/5e763d5210380d0006fbae9e/416x416.jpg?background=000000&cropX1=3&cropX2=1200&cropY1=118&cropY2=1316,952,Aristotelis Mistakidis,$3.2 B,61,"Mining, commodities",Greece,https://www.forbes.com/profile/aristotelis-mistakidis/?list=rtb/,Metals & Mining
2124,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,989,Daniel Mate,$3.1 B,60,"Mining, commodities",Spain,https://www.forbes.com/profile/daniel-mate/?list=rtb/,Metals & Mining
2125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Metals & Mining
2126,https://specials-images.forbesimg.com/imageserve/6317625a06f37fe36ebcd8fe/416x416.jpg?background=000000&cropX1=805&cropX2=2279&cropY1=480&cropY2=1953,1013,Robert Friedland,$3.0 B,72,Mining,United States,https://www.forbes.com/profile/robert-friedland/?list=rtb/,Metals & Mining
