,Name,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
137,Dustin Moskovitz,6.8,7.9,8.9,10.7,14.0,11.1,9.3,17.8,11.5,8.8
138,Mikhail Fridman,17.6,14.6,13.3,14.4,15.1,15.0,13.0,15.5,11.8,12.6
139,Wei Jianjun,6.9,8.9,4.3,5.9,6.5,3.8,4.2,15.5,15.5,14.5
140,David Duffield,7.7,7.4,4.4,6.7,7.8,11.8,7.5,13.5,12.9,10.2
141,Giorgio Armani,9.9,7.6,6.1,6.6,8.9,8.5,5.4,7.7,7.8,11.1
142,Shahid Khan,4.1,4.5,5.9,8.2,7.2,6.8,7.8,8.0,7.6,12.1
143,Vinod Adani,,,,,,,,,,
144,Johann Rupert,7.6,7.4,5.3,6.1,7.0,5.5,4.6,7.1,8.9,11.1
145,Stephen Ross,5.4,6.5,12.0,7.4,7.6,7.6,7.6,7.0,8.2,11.6
146,Kushal Pal Singh,3.0,3.4,2.8,4.1,6.4,4.7,3.7,8.3,8.8,8.2
147,Pavel Durov,,,,,1.7,2.7,3.4,17.2,15.1,11.5
148,Mike Cannon-Brookes,,1.1,1.4,2.1,3.4,6.9,8.0,14.2,15.3,10.2
149,Michael Rubin,2.7,2.7,2.3,2.3,3.0,3.0,2.9,3.5,8.0,11.4
150,Viatcheslav Kantor,2.0,2.3,2.5,3.1,3.7,3.8,4.0,4.5,4.6,11.3
151,Mikhail Prokhorov,10.9,9.9,7.6,8.9,9.6,9.8,11.2,11.4,10.3,11.3
152,Israel Englander,3.3,3.8,5.0,5.2,5.2,6.4,6.6,9.6,11.5,11.3
153,John Doerr,3.4,3.4,4.1,5.2,7.1,6.9,7.3,12.4,12.7,8.8
154,Christy Walton,36.7,41.7,5.2,5.4,7.3,7.2,8.9,7.2,7.9,10.2
155,Robert Kuok,11.5,11.3,10.0,11.4,14.8,12.8,9.6,12.6,11.7,11.8
156,Zhang Zhidong,4.8,5.8,5.9,8.4,15.6,13.3,13.0,23.4,12.8,11.0
157,Scott Farquhar,,1.1,1.4,2.1,3.4,6.9,8.0,14.0,15.1,10.1
158,Donald Newhouse,8.5,8.3,9.3,12.1,12.3,11.8,10.8,17.6,14.4,10.7
159,Dan Cathy,,3.2,3.3,3.8,4.8,6.0,3.4,8.3,4.6,6.6
160,Bubba Cathy,,3.2,3.3,3.8,4.8,6.0,3.4,8.3,4.6,6.6
161,Trudy Cathy White,,,,,,,,,4.6,6.6
162,Sarath Ratanavadi,,,,,3.6,4.4,6.3,8.9,11.8,12.3
163,Pang Kang,2.5,3.3,3.4,3.5,6.4,8.9,11.5,26.4,19.6,15.9
164,Nicolas Puech,2.0,2.0,2.1,2.3,2.8,3.3,3.1,5.7,6.6,9.8
165,Philip Anschutz,10.4,11.8,9.7,12.5,13.0,10.9,11.0,10.1,10.9,10.9
166,Sun Piaoyang,1.9,2.1,3.4,4.3,7.7,8.4,11.8,18.9,17.1,9.7
167,Chen Bang,1.3,1.7,2.1,2.1,3.5,4.4,7.6,17.9,12.7,13.9
168,Anthony Pratt,3.0,3.6,3.6,4.4,5.5,7.1,8.7,10.8,11.4,11.3
169,Robert Kraft,2.9,4.3,4.8,5.1,6.2,6.5,6.9,6.9,8.3,10.6
170,Robert Pera,2.7,1.8,2.0,3.0,4.3,6.9,7.0,18.3,14.6,15.5
171,Carl Icahn,24.5,23.5,17.0,16.6,16.8,17.4,13.8,15.8,16.5,17.5
172,Carl Cook,,6.5,4.8,7.4,8.0,8.3,8.0,9.9,11.1,10.2
173,Chris Xu,,,,,,,,,5.4,10.5
174,Suleiman Kerimov,6.9,3.4,1.6,6.3,6.4,6.3,10.0,15.8,4.4,10.5
175,Aliko Dangote,25.0,14.7,15.4,12.2,14.1,10.4,8.3,11.5,14.0,14.2
176,Andreas Struengmann,3.5,3.3,3.2,3.1,3.7,4.4,9.6,11.0,11.9,11.5
177,Thomas Struengmann,3.5,3.3,3.2,3.1,3.7,4.4,9.6,11.0,11.9,11.5
178,Ravi Jaipuria,1.5,1.7,1.6,1.5,2.1,2.1,2.3,3.3,5.2,8.6
179,Brian Chesky,,1.9,3.3,3.8,3.8,3.7,4.1,13.7,11.5,9.3
180,Vincent Bolloré,7.4,6.7,5.3,5.2,7.4,5.1,3.5,7.0,7.5,9.5
181,David Cheriton,2.5,2.9,3.3,4.2,6.0,5.8,5.5,8.8,10.9,9.0
182,Viktor Rashnikov,2.8,3.5,3.8,8.3,9.3,8.9,7.3,11.2,6.6,10.2
183,Melker Schorling,5.4,6.4,5.7,6.8,8.2,6.8,5.6,10.5,10.4,9.8
184,Judy Love,3.6,4.0,5.9,5.2,5.8,7.0,6.5,10.8,9.7,10.9
185,Changpeng Zhao,,,,,1.4,1.2,,1.9,65.0,10.5
186,Dang Yanbao,,,,,1.1,1.2,6.6,12.7,14.8,12.2
187,Marcel Herrmann Telles,10.2,13.0,13.0,14.8,14.0,9.9,6.5,11.5,10.3,10.6
188,Jim Pattison,7.3,7.5,4.5,5.6,6.9,6.0,4.3,9.6,12.2,9.5
189,Henry Samueli,2.0,2.4,2.6,3.6,3.8,4.3,3.5,6.1,7.3,7.7
190,Jeffery Hildebrand,5.5,4.9,4.2,4.3,3.6,3.0,2.2,2.0,7.5,10.2
191,Gong Hongjia,3.7,4.7,4.1,5.8,11.2,8.6,8.0,14.4,13.2,11.0
192,Quek Leng Chan,6.4,5.6,5.3,6.8,7.2,9.4,9.2,9.7,10.6,10.1
193,Autry Stephens,,,,,,,,,5.0,10.0
